"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Dominica","DMA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","43","63","85","93","97","87","90","88","88","98","99","99","99","99","99","99","98","99","99","99","99","99","99","98","97","96","99","99","99","99","99","93","94","96","96","77","84","92","92","92",
"Denmark","DNK","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","72","80","84","86","85","81","88","88","85","84","91","92","99","94","95","96","96","95","90","89","87","84","85","87","90","89","90","91","94","97","95","96","94","95",
"Dominican Republic","DOM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","30","18","25","24","19","54","71","71","29","65","70","72","73","75","76","78","79","79","80","83","85","88","86","83","81","79","81","82","83","84","85","87","88","83","88","90","85","86","91","96","82","88",
"Algeria","DZA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","68","67","73","81","82","83","85","86","87","88","89","90","92","84","83","80","83","81","84","81","83","91","92","88","92","95","95","95","95","95","95","94","88","80","80","80","80",
"East Asia & Pacific (excluding high income)","EAP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","0.382391791359528","0.422825695269223","0.890329377772757","54.3666106785216","60.3887726748036","66.0319244496378","55.3201404620962","67.0878573695313","82.5842313947748","85.2743278787058","89.471227399585","85.9353060746587","82.5376448492728","78.7433652633541","75.3102144766991","77.9485893711032","82.7609167718318","81.9036097355018","82.4014192758449","83.1052048783638","82.8170005206142","83.4324313424521","82.9414961039829","83.6721957430622","85.5654108780067","85.6385259089898","89.7428715951013","89.3651155472381","91.628107921983","92.9112294093297","93.5730003287663","93.7474132274033","93.77021208204","94.7648585146969","94.5010223948976","94.3535620400512","94.7016086074313","94.4541335167935","94.5598559304896","93.641981206649","91.3382986502419","85.6053377394912",
"Early-demographic dividend","EAR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","7.76552230584375","9.42023383808679","11.1830211812025","13.5810594647335","16.5375228143129","23.7022677550012","30.3351276627989","37.6406470606252","45.4404385901325","54.2932681382744","62.625108258231","57.2874821136615","61.5094529683792","65.3500130270737","70.1686377547848","71.1406642138084","70.7769023644024","66.4207191511491","66.4785462041846","67.6780895965198","67.8104159499842","68.353313395855","67.3525182888512","69.657784976648","72.1151880865226","74.4068926199594","75.3150524444521","75.9452854613815","77.0138716211087","79.9344957695595","81.831901117817","83.6109110133284","82.7305368946446","83.0627768970148","84.2205489976566","85.5710506138969","86.3171709414236","86.3223265741317","87.7509146851121","87.8081490268596","84.8671729560496","83.0181777273415",
"East Asia & Pacific","EAS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","4.01740996139296","3.80839174542305","3.95788921204764","54.6603493691443","60.992667229196","66.8198154901159","56.8066892125364","67.6790857786916","82.1113526914688","85.1623461324494","88.984062258194","85.6131533083897","82.3365310031185","78.7232401310655","75.9969774114244","78.9293850883302","83.3830821076404","82.5052097285783","82.9563943297911","83.774439820843","83.6779642736933","84.3468613547738","83.9113332878473","84.5519896298657","86.3485130026242","86.3955618085347","90.1774404425261","89.6726399242416","91.7707845711892","92.9570552140338","93.6524937007981","93.835340497669","93.9218382980572","94.8207766119376","94.6676396509207","94.459798669974","94.7860709283764","94.5607905161819","94.6638218542656","93.7641104566693","91.6388850719919","86.2499373379896",
"Europe & Central Asia (excluding high income)","ECA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.89237131598","82.2508056186557","80.6247310992654","81.905154640462","85.0628620190625","88.6424844111327","89.6583894872457","90.838268696971","92.7673602891885","93.9612694519735","91.5444495153544","90.1272496732729","92.1896307123333","94.9724793019855","96.4826053971821","96.4554544897573","96.507785375519","94.4169679558112","93.5148541229352","94.936039438296","95.2631700921789","95.9112214404024","93.3002195972065","94.1105373979746","93.2649735695639","96.2731930842037","96.2590204044069","96.9263070646815","94.3625085897178","95.3559089630569",
"Europe & Central Asia","ECS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2636703335765","82.7115423733175","82.7009043274442","83.9048961105464","86.2005798947858","88.0847424547583","88.1325246020962","89.5437580707914","90.7882895931837","91.6490002067932","90.8948332766273","90.3930100405179","91.5334806680944","93.0514876762107","94.3720893523077","94.6761596860608","94.7567509190583","93.6865194874171","93.3938948754882","94.2308040262441","94.7610207196093","95.0214123060637","93.537594113878","93.8076498576425","93.3044340726754","95.1518007047164","95.2018227160943","95.634193363047","93.6274494815261","94.0592580057895",
"Ecuador","ECU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","24","31","45","34","54","51","50","47","53","57","60","54","69","85","83","81","79","77","89","99","99","99","99","99","99","93","97","98","98","97","95","94","96","97","85","84","86","81","83","83","81","65",
"Egypt, Arab Rep.","EGY","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41","41","41","41","47","74","78","76","85","86","86","89","89","89","89","89","92","92","98","96","98","97","97","98","97","98","98","97","92","95","96","96","93","96","93","92","95","94","94","95","94","96",
"Euro area","EMU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","12.256021605111","22.5624229927799","26.0703730078501","31.2104909475976","41.0811908090149","47.7049117760046","53.7265424187373","57.3200570365143","59.8749292185308","63.3479811408308","73.5088079071104","73.4221247562914","74.8504694574916","77.1440199825421","79.7846947805207","81.2670037580791","83.4956266837455","83.9222286476596","83.5196831746977","85.9832242603845","86.8299832663623","88.3484651441028","89.4301142425193","90.8454226959541","91.4038765749731","91.4978478381523","92.6727630690149","93.3828856658033","93.5177014477113","93.3963578162746","93.2233144649058","93.4577835950057","94.045221263657","93.6916595208998","93.5707879934061","93.2163694789917","93.3524632700504","94.3119865013853","94.4695883603848","95.1208502803863","94.5881840470199","94.2595345600934",
"Eritrea","ERI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","51","58","66","73","79","88","76","84","83","92","96","95","94","92","91","93","95","96","98","94","90","97","95","93","93","93","93","93",
